DateTime,ambient_temperature (°C),irradiance (W/m²),humidity (%),device_temperature (°C),output_current (A),output_voltage (V),power_output (W),power_output_type
2024-10-14 00:00:00,27.49,818.48,87.27,42.51,28.91,39.44,336.78,Solar Panel output
2024-10-14 01:00:00,39.01,808.08,65.88,49.18,14.42,45.70,357.20,Battery output
2024-10-14 02:00:00,34.64,771.17,53.48,49.40,13.48,45.87,462.78,Solar Panel output
2024-10-14 03:00:00,31.97,851.63,74.68,47.70,6.56,18.29,298.41,Charge Controller to battery
2024-10-14 04:00:00,23.12,495.16,54.55,34.64,17.15,43.49,583.52,Charge Controller to inverter
2024-10-14 05:00:00,23.12,928.52,63.81,30.47,7.73,38.55,"1,316.95",Charge Controller to inverter
2024-10-14 06:00:00,21.16,923.11,70.30,47.26,11.21,21.10,909.18,Solar Panel output
2024-10-14 07:00:00,37.32,417.55,84.97,45.98,12.92,14.42,628.49,Battery output
2024-10-14 08:00:00,32.02,895.49,69.74,31.28,25.22,21.65,"1,349.49",Solar Panel output
2024-10-14 09:00:00,34.16,477.32,78.09,49.68,26.89,44.84,126.88,Battery output
2024-10-14 10:00:00,20.41,601.07,89.71,40.93,12.56,34.79,350.18,Charge Controller to battery
2024-10-14 11:00:00,39.40,846.10,55.26,48.37,26.47,37.96,840.93,Charge Controller to inverter
2024-10-14 12:00:00,36.65,496.46,60.99,54.31,26.43,21.26,909.46,Charge Controller to battery
2024-10-14 13:00:00,24.25,890.78,65.78,30.94,24.12,37.90,114.59,Charge Controller to inverter
2024-10-14 14:00:00,23.64,899.28,66.87,25.67,8.67,13.01,616.19,Charge Controller to battery
2024-10-14 15:00:00,23.67,704.48,66.44,52.27,22.26,25.51,955.83,Solar Panel output
2024-10-14 16:00:00,26.08,403.83,86.30,46.34,28.63,34.56,"1,023.34",Charge Controller to battery
2024-10-14 17:00:00,30.50,572.22,78.56,49.49,22.06,17.26,940.63,Charge Controller to battery
2024-10-14 18:00:00,28.64,770.16,74.32,54.34,13.29,41.63,502.38,Solar Panel output
2024-10-14 19:00:00,25.82,988.71,62.37,53.10,17.51,20.46,189.06,Charge Controller to inverter
2024-10-14 20:00:00,32.24,779.09,82.95,58.63,21.14,35.48,649.42,Charge Controller to inverter
2024-10-14 21:00:00,22.79,555.88,88.20,43.76,17.76,26.59,237.68,Solar Panel output
2024-10-14 22:00:00,25.84,780.40,82.85,42.10,8.00,33.46,"1,367.72",Charge Controller to battery
2024-10-14 23:00:00,27.33,723.99,50.06,39.07,12.80,15.87,715.74,Charge Controller to battery
2024-10-15 00:00:00,29.12,867.91,75.46,30.38,25.06,12.61,497.82,Charge Controller to battery
2024-10-15 01:00:00,35.70,464.19,52.05,45.04,26.54,44.74,"1,117.50",Battery output
2024-10-15 02:00:00,23.99,856.62,60.30,34.70,8.43,21.71,747.17,Charge Controller to inverter
2024-10-15 03:00:00,30.28,724.76,52.38,57.25,28.81,41.51,487.85,Charge Controller to battery
2024-10-15 04:00:00,31.85,977.80,74.15,45.41,13.22,47.98,"1,180.52",Charge Controller to inverter
2024-10-15 05:00:00,20.93,605.12,77.46,45.75,21.56,19.61,"1,256.67",Charge Controller to battery
2024-10-15 06:00:00,32.15,779.57,54.58,37.42,23.80,21.55,988.75,Solar Panel output
2024-10-15 07:00:00,23.41,959.22,65.35,26.82,25.30,35.86,124.81,Solar Panel output
2024-10-15 08:00:00,21.30,461.51,68.25,26.11,28.64,46.76,841.53,Charge Controller to inverter
2024-10-15 09:00:00,38.98,962.34,64.76,39.82,12.82,44.97,"1,113.35",Charge Controller to inverter
2024-10-15 10:00:00,39.31,812.73,54.84,27.96,26.46,30.10,248.37,Solar Panel output
2024-10-15 11:00:00,36.17,440.70,66.76,46.24,8.29,40.62,375.57,Battery output
2024-10-15 12:00:00,26.09,580.58,80.05,55.83,22.63,16.89,"1,277.84",Solar Panel output
2024-10-15 13:00:00,21.95,824.90,52.84,55.90,23.55,47.19,87.77,Charge Controller to battery
2024-10-15 14:00:00,33.68,440.41,53.21,48.07,21.94,46.72,"1,098.76",Battery output
2024-10-15 15:00:00,28.80,749.30,64.19,32.39,11.31,17.89,713.81,Solar Panel output
2024-10-15 16:00:00,22.44,607.53,87.67,55.20,26.83,22.78,676.55,Battery output
2024-10-15 17:00:00,29.90,772.55,76.74,56.01,9.22,15.61,69.79,Battery output
2024-10-15 18:00:00,20.69,427.45,77.15,31.88,6.34,21.78,"1,190.77",Battery output
2024-10-15 19:00:00,38.19,922.92,64.48,50.81,22.94,41.37,556.56,Charge Controller to inverter
2024-10-15 20:00:00,25.18,984.09,73.75,35.03,16.89,25.62,806.26,Solar Panel output
2024-10-15 21:00:00,33.25,981.33,50.41,53.09,26.23,15.18,994.67,Charge Controller to inverter
2024-10-15 22:00:00,26.23,849.79,75.44,59.90,14.58,24.32,"1,029.63",Charge Controller to inverter
2024-10-15 23:00:00,30.40,478.05,86.53,26.05,9.21,47.33,"1,379.25",Charge Controller to battery
2024-10-16 00:00:00,30.93,854.96,74.50,56.41,25.91,34.67,793.25,Charge Controller to battery
2024-10-16 01:00:00,23.70,414.75,84.95,46.79,18.72,26.98,611.61,Battery output
2024-10-16 02:00:00,39.39,413.27,78.96,59.07,9.73,18.00,"1,376.11",Battery output
2024-10-16 03:00:00,35.50,594.17,54.82,41.28,23.01,47.50,946.11,Charge Controller to battery
2024-10-16 04:00:00,38.79,693.19,86.10,54.66,17.78,41.55,471.45,Charge Controller to battery
2024-10-16 05:00:00,37.90,862.24,52.66,27.18,20.11,22.13,234.52,Solar Panel output
2024-10-16 06:00:00,31.96,809.98,71.36,36.73,16.52,14.52,"1,222.73",Battery output
2024-10-16 07:00:00,38.44,667.54,55.69,27.35,25.72,14.04,559.81,Battery output
2024-10-16 08:00:00,21.77,564.18,50.47,59.14,25.74,16.33,971.45,Charge Controller to battery
2024-10-16 09:00:00,23.92,998.27,66.88,53.59,22.73,32.91,709.73,Solar Panel output
2024-10-16 10:00:00,20.90,655.71,61.80,54.84,7.64,45.44,334.52,Charge Controller to battery
2024-10-16 11:00:00,26.51,670.83,69.44,57.83,25.97,29.88,890.33,Charge Controller to battery
2024-10-16 12:00:00,27.77,498.17,73.09,27.98,21.78,42.35,143.74,Charge Controller to inverter
2024-10-16 13:00:00,25.43,876.89,51.75,38.50,22.43,28.05,630.41,Battery output
2024-10-16 14:00:00,36.57,816.21,54.92,27.49,14.07,37.51,814.33,Solar Panel output
2024-10-16 15:00:00,27.14,532.46,72.35,32.38,26.98,38.35,661.74,Charge Controller to inverter
2024-10-16 16:00:00,25.62,449.43,63.73,33.03,23.13,18.26,"1,093.17",Battery output
2024-10-16 17:00:00,30.85,808.30,79.17,41.42,7.81,25.00,"1,202.54",Charge Controller to battery
